url_path,views_total,views_unique
/AiratTop/ad-generator,4,4
/AiratTop/ad-generator/issues,4,4
/AiratTop/ad-generator/wiki,3,3
/AiratTop/ad-generator/blob/master/ad-generator-cli.php,2,2
/AiratTop/ad-generator/blob/88f9485b162bd74b0c0ac8d4ba35241ada3f803b/.gitignore,1,1
/AiratTop/ad-generator/milestones,1,1
/AiratTop/ad-generator/pulls,1,1
/AiratTop/ad-generator/releases/tag/v1.4.0,1,1
/AiratTop/ad-generator/stargazers,1,1
/AiratTop/ad-generator/tree/978f3cb1e1d346263c3766ea13938efcb53c86e3,1,1
