time_iso8601,stars_cumulative
2017-09-05 00:00:00+00:00,1
2018-01-22 00:00:00+00:00,2
2018-11-06 00:00:00+00:00,3
2019-03-30 00:00:00+00:00,4
2019-04-29 00:00:00+00:00,5
2019-05-16 00:00:00+00:00,6
2019-06-29 00:00:00+00:00,7
2019-10-28 00:00:00+00:00,8
2020-01-28 00:00:00+00:00,9
2020-04-15 00:00:00+00:00,10
2020-05-18 00:00:00+00:00,11
2020-07-21 00:00:00+00:00,12
2020-08-12 00:00:00+00:00,13
2020-09-05 00:00:00+00:00,14
2021-01-25 00:00:00+00:00,15
2021-02-09 00:00:00+00:00,16
2021-03-25 00:00:00+00:00,17
2021-09-14 00:00:00+00:00,18
2023-02-21 00:00:00+00:00,19
2023-03-06 00:00:00+00:00,20
2023-04-28 00:00:00+00:00,21
2023-07-26 00:00:00+00:00,22
2025-10-08 00:00:00+00:00,23
