url_path,views_total,views_unique
/AiratTop/gatus-self-hosted,8,5
/AiratTop/gatus-self-hosted/blob/main/docker-compose.yml,3,2
/AiratTop/gatus-self-hosted/pulls,2,2
/AiratTop/gatus-self-hosted/tree/main,2,1
/AiratTop/gatus-self-hosted/blob/main/.env,1,1
/AiratTop/gatus-self-hosted/blob/main/AGENTS.md,1,1
/AiratTop/gatus-self-hosted/blob/main/config/config.yaml,1,1
/AiratTop/gatus-self-hosted/blob/main/update-docker.sh,1,1
/AiratTop/gatus-self-hosted/issues,1,1
/AiratTop/gatus-self-hosted/tree/main/config,1,1
