time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-06 00:00:00+00:00,210,93,2,2
2026-09-07 00:00:00+00:00,204,100,4,3
2026-09-08 00:00:00+00:00,100,73,3,2
2026-09-09 00:00:00+00:00,98,67,7,3
2026-09-10 00:00:00+00:00,167,104,1,1
2026-09-11 00:00:00+00:00,136,90,0,0
2026-09-12 00:00:00+00:00,207,114,6,3
2026-09-13 00:00:00+00:00,252,113,4,1
2026-09-14 00:00:00+00:00,158,90,1,1
2026-09-15 00:00:00+00:00,204,100,2,1
2026-09-16 00:00:00+00:00,180,89,4,2
2026-09-17 00:00:00+00:00,188,108,8,3
2026-09-18 00:00:00+00:00,151,98,5,2
2026-09-19 00:00:00+00:00,242,126,2,2
