time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,20,13,8,1
2026-03-27 00:00:00+00:00,2,2,0,0
2026-03-28 00:00:00+00:00,1,1,0,0
2026-03-29 00:00:00+00:00,0,0,0,0
2026-03-30 00:00:00+00:00,2,2,0,0
2026-03-31 00:00:00+00:00,1,1,3,2
2026-04-01 00:00:00+00:00,0,0,2,2
2026-04-02 00:00:00+00:00,3,3,0,0
2026-04-03 00:00:00+00:00,1,1,1,1
2026-04-04 00:00:00+00:00,0,0,0,0
2026-04-05 00:00:00+00:00,1,1,1,1
2026-04-06 00:00:00+00:00,8,6,1,1
2026-04-07 00:00:00+00:00,0,0,0,0
2026-04-08 00:00:00+00:00,2,2,3,2
2026-04-09 00:00:00+00:00,43,22,1,1
2026-04-10 00:00:00+00:00,71,34,1,1
2026-04-11 00:00:00+00:00,21,12,2,2
2026-04-12 00:00:00+00:00,16,9,5,2
2026-04-13 00:00:00+00:00,1,1,1,1
2026-04-14 00:00:00+00:00,27,15,5,4
2026-04-15 00:00:00+00:00,2,2,1,1
2026-04-16 00:00:00+00:00,4,4,2,2
