time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-06 00:00:00+00:00,1,1,1,1
2026-04-07 00:00:00+00:00,0,0,0,0
2026-04-08 00:00:00+00:00,0,0,0,0
2026-04-09 00:00:00+00:00,20,8,9,9
2026-04-10 00:00:00+00:00,57,28,4,2
2026-04-11 00:00:00+00:00,10,7,0,0
2026-04-12 00:00:00+00:00,25,11,3,2
2026-04-13 00:00:00+00:00,4,4,5,5
2026-04-14 00:00:00+00:00,24,9,3,3
2026-04-15 00:00:00+00:00,1,1,2,2
2026-04-16 00:00:00+00:00,4,3,0,0
2026-04-17 00:00:00+00:00,0,0,2,1
2026-04-18 00:00:00+00:00,0,0,0,0
2026-04-19 00:00:00+00:00,1,1,1,1
